n,R,d,I,Rapprox
2,inf,0.04906,0.2516,0.4879
3,0.774,0.05043,0.2516,0.4445
4,inf,0.04906,0.2516,0.4187
5,inf,0.04728,0.2516,0.401
6,0.5283,0.04554,0.2516,0.388
7,inf,0.04394,0.2516,0.3779
8,inf,0.04249,0.2516,0.3698
9,0.4341,0.04118,0.2516,0.363
10,inf,0.03999,0.2516,0.3573
11,inf,0.03891,0.2516,0.3524
12,0.3917,0.03792,0.2516,0.3481
13,inf,0.03702,0.2516,0.3443
14,inf,0.03618,0.2516,0.3409
15,0.3618,0.03541,0.2516,0.3379
16,inf,0.03469,0.2516,0.3352
17,inf,0.03402,0.2516,0.3327
18,0.3394,0.03339,0.2516,0.3304
19,inf,0.03281,0.2516,0.3283
20,inf,0.03225,0.2516,0.3263
21,0.3242,0.03173,0.2516,0.3245
22,0.3506,0.03124,0.2516,0.3229
23,0.3397,0.03077,0.2516,0.3213
24,0.3118,0.03032,0.2516,0.3198
25,0.3392,0.0299,0.2516,0.3184
26,0.3299,0.0295,0.2516,0.3172
27,0.3022,0.02912,0.2516,0.3159
28,0.3299,0.02875,0.2516,0.3148
29,0.3221,0.0284,0.2516,0.3137
30,0.294,0.02806,0.2516,0.3126
31,0.3224,0.02774,0.2516,0.3116
32,0.3156,0.02742,0.2516,0.3107
33,0.2871,0.02713,0.2516,0.3098
34,0.316,0.02684,0.2516,0.3089
35,0.3102,0.02656,0.2516,0.3081
36,0.2811,0.02629,0.2516,0.3073
37,0.3107,0.02603,0.2516,0.3066
38,0.3055,0.02578,0.2516,0.3058
39,0.2756,0.02554,0.2516,0.3051
40,0.3061,0.02531,0.2516,0.3045
41,0.3015,0.02508,0.2516,0.3038
42,0.2962,0.02486,0.2516,0.3032
43,0.3021,0.02465,0.2516,0.3026
44,0.298,0.02444,0.2516,0.302
45,0.2934,0.02424,0.2516,0.3014
46,0.2986,0.02404,0.2516,0.3009
47,0.2949,0.02385,0.2516,0.3004
48,0.291,0.02367,0.2516,0.2999
49,0.2955,0.02349,0.2516,0.2994
50,0.2922,0.02331,0.2516,0.2989
51,0.2888,0.02314,0.2516,0.2984
52,0.2927,0.02297,0.2516,0.298
53,0.2897,0.02281,0.2516,0.2975
54,0.2868,0.02265,0.2516,0.2971
55,0.2902,0.02249,0.2516,0.2967
56,0.2875,0.02234,0.2516,0.2963
57,0.285,0.02219,0.2516,0.2959
58,0.288,0.02205,0.2516,0.2955
59,0.2855,0.02191,0.2516,0.2951
60,0.2835,0.02177,0.2516,0.2948
61,0.2859,0.02163,0.2516,0.2944
62,0.2837,0.0215,0.2516,0.2941
63,0.282,0.02137,0.2516,0.2937
64,0.2846,0.02124,0.2516,0.2934
65,0.2894,0.02112,0.2516,0.2931
66,0.2806,0.021,0.2516,0.2928
67,0.2832,0.02088,0.2516,0.2924
68,0.2877,0.02076,0.2516,0.2921
69,0.2794,0.02064,0.2516,0.2919
70,0.2819,0.02053,0.2516,0.2916
71,0.2861,0.02042,0.2516,0.2913
72,0.2783,0.02031,0.2516,0.291
73,0.2806,0.0202,0.2516,0.2907
74,0.2846,0.0201,0.2516,0.2905
75,0.2772,0.01999,0.2516,0.2902
76,0.2795,0.01989,0.2516,0.29
77,0.2832,0.01979,0.2516,0.2897
78,0.2762,0.01969,0.2516,0.2895
79,0.2784,0.0196,0.2516,0.2892
80,0.282,0.0195,0.2516,0.289
81,0.2753,0.01941,0.2516,0.2888
82,0.2775,0.01932,0.2516,0.2885
83,0.2808,0.01923,0.2516,0.2883
84,0.2745,0.01914,0.2516,0.2881
85,0.2765,0.01905,0.2516,0.2879
86,0.2797,0.01897,0.2516,0.2877
87,0.2736,0.01888,0.2516,0.2874
88,0.2757,0.0188,0.2516,0.2872
89,0.2787,0.01871,0.2516,0.287
90,0.2729,0.01863,0.2516,0.2868
91,0.2731,0.01855,0.2516,0.2867
92,0.2709,0.01847,0.2516,0.2865
93,0.2722,0.0184,0.2516,0.2863
94,0.2725,0.01832,0.2516,0.2861
95,0.2704,0.01825,0.2516,0.2859
96,0.2715,0.01817,0.2516,0.2857
97,0.2718,0.0181,0.2516,0.2856
98,0.2698,0.01802,0.2516,0.2854
99,0.2709,0.01795,0.2516,0.2852
100,0.2712,0.01788,0.2516,0.285
101,0.2693,0.01781,0.2516,0.2849
102,0.2703,0.01774,0.2516,0.2847
103,0.2706,0.01768,0.2516,0.2845
104,0.2688,0.01761,0.2516,0.2844
105,0.2697,0.01754,0.2516,0.2842
106,0.2701,0.01748,0.2516,0.2841
107,0.2684,0.01741,0.2516,0.2839
108,0.2692,0.01735,0.2516,0.2838
109,0.2696,0.01729,0.2516,0.2836
110,0.2679,0.01723,0.2516,0.2835
111,0.2687,0.01717,0.2516,0.2833
112,0.2691,0.0171,0.2516,0.2832
113,0.2675,0.01704,0.2516,0.2831
114,0.2682,0.01699,0.2516,0.2829
115,0.2686,0.01693,0.2516,0.2828
116,0.2671,0.01687,0.2516,0.2826
117,0.2677,0.01681,0.2516,0.2825
118,0.2682,0.01676,0.2516,0.2824
119,0.2667,0.0167,0.2516,0.2823
120,0.2673,0.01664,0.2516,0.2821
121,0.2678,0.01659,0.2516,0.282
122,0.2664,0.01654,0.2516,0.2819
123,0.2653,0.01648,0.2516,0.2818
124,0.2674,0.01643,0.2516,0.2816
125,0.266,0.01638,0.2516,0.2815
126,0.265,0.01633,0.2516,0.2814
127,0.267,0.01628,0.2516,0.2813
128,0.2657,0.01622,0.2516,0.2812
129,0.2647,0.01617,0.2516,0.281
130,0.2666,0.01613,0.2516,0.2809
131,0.2654,0.01608,0.2516,0.2808
132,0.2644,0.01603,0.2516,0.2807
133,0.2663,0.01598,0.2516,0.2806
134,0.2651,0.01593,0.2516,0.2805
135,0.2641,0.01588,0.2516,0.2804
136,0.2659,0.01584,0.2516,0.2803
137,0.2648,0.01579,0.2516,0.2802
138,0.2639,0.01575,0.2516,0.2801
139,0.2656,0.0157,0.2516,0.28
140,0.2645,0.01566,0.2516,0.2799
141,0.2636,0.01561,0.2516,0.2798
142,0.2653,0.01557,0.2516,0.2797
143,0.2642,0.01552,0.2516,0.2796
144,0.2634,0.01548,0.2516,0.2795
145,0.265,0.01544,0.2516,0.2794
146,0.264,0.0154,0.2516,0.2793
147,0.2631,0.01535,0.2516,0.2792
148,0.2647,0.01531,0.2516,0.2791
149,0.2637,0.01527,0.2516,0.279
150,0.2629,0.01523,0.2516,0.2789
151,0.2645,0.01519,0.2516,0.2788
152,0.2635,0.01515,0.2516,0.2787
153,0.2627,0.01511,0.2516,0.2786
154,0.2642,0.01507,0.2516,0.2786
155,0.2632,0.01503,0.2516,0.2785
156,0.2625,0.01499,0.2516,0.2784
157,0.2623,0.01495,0.2516,0.2783
158,0.2646,0.01492,0.2516,0.2782
159,0.2623,0.01488,0.2516,0.2781
160,0.2621,0.01484,0.2516,0.278
161,0.2643,0.0148,0.2516,0.278
162,0.2621,0.01477,0.2516,0.2779
163,0.2619,0.01473,0.2516,0.2778
164,0.2641,0.0147,0.2516,0.2777
165,0.2619,0.01466,0.2516,0.2776
166,0.2617,0.01462,0.2516,0.2776
167,0.2639,0.01459,0.2516,0.2775
168,0.2617,0.01455,0.2516,0.2774
169,0.2616,0.01452,0.2516,0.2773
170,0.2636,0.01448,0.2516,0.2773
171,0.2615,0.01445,0.2516,0.2772
172,0.2614,0.01442,0.2516,0.2771
173,0.2634,0.01438,0.2516,0.277
174,0.2614,0.01435,0.2516,0.277
175,0.2612,0.01432,0.2516,0.2769
176,0.2632,0.01428,0.2516,0.2768
177,0.2612,0.01425,0.2516,0.2767
178,0.2611,0.01422,0.2516,0.2767
179,0.263,0.01419,0.2516,0.2766
180,0.261,0.01415,0.2516,0.2765
181,0.2609,0.01412,0.2516,0.2765
182,0.2628,0.01409,0.2516,0.2764
183,0.2609,0.01406,0.2516,0.2763
184,0.2608,0.01403,0.2516,0.2763
185,0.2626,0.014,0.2516,0.2762
186,0.2607,0.01397,0.2516,0.2761
187,0.2606,0.01394,0.2516,0.2761
188,0.2624,0.01391,0.2516,0.276
189,0.2606,0.01388,0.2516,0.2759
190,0.2605,0.01385,0.2516,0.2759
191,0.2622,0.01382,0.2516,0.2758
192,0.2604,0.01379,0.2516,0.2757
193,0.2604,0.01376,0.2516,0.2757
194,0.262,0.01373,0.2516,0.2756
195,0.2603,0.0137,0.2516,0.2756
196,0.2602,0.01368,0.2516,0.2755
197,0.2591,0.01365,0.2516,0.2754
198,0.2602,0.01362,0.2516,0.2754
199,0.26,0.01359,0.2516,0.2753
200,0.259,0.01356,0.2516,0.2753
201,0.26,0.01354,0.2516,0.2752
202,0.2599,0.01351,0.2516,0.2751
203,0.2589,0.01348,0.2516,0.2751
204,0.2599,0.01345,0.2516,0.275
205,0.2598,0.01343,0.2516,0.275
206,0.2588,0.0134,0.2516,0.2749
207,0.2598,0.01338,0.2516,0.2749
208,0.2597,0.01335,0.2516,0.2748
209,0.2587,0.01332,0.2516,0.2747
210,0.2597,0.0133,0.2516,0.2747
211,0.2596,0.01327,0.2516,0.2746
212,0.2586,0.01325,0.2516,0.2746
213,0.2596,0.01322,0.2516,0.2745
214,0.2594,0.0132,0.2516,0.2745
215,0.2585,0.01317,0.2516,0.2744
216,0.2594,0.01315,0.2516,0.2744
217,0.2593,0.01312,0.2516,0.2743
218,0.2584,0.0131,0.2516,0.2743
219,0.2593,0.01307,0.2516,0.2742
220,0.2592,0.01305,0.2516,0.2742
221,0.2583,0.01302,0.2516,0.2741
222,0.2592,0.013,0.2516,0.2741
223,0.2591,0.01298,0.2516,0.274
224,0.2582,0.01295,0.2516,0.274
225,0.2591,0.01293,0.2516,0.2739
226,0.259,0.01291,0.2516,0.2739
227,0.2581,0.01288,0.2516,0.2738
228,0.259,0.01286,0.2516,0.2738
